images,specification,feature,product_name
,"[{u'Duty': 'Standard-Duty', u'Minimum PTO HP': '35', u'Woods Model': 'DS96', u'Working Width (in)': '96', u'Cutting Capacity Diameter (in)': '1.5'}, {u'Duty': 'Standard-Duty', u'Minimum PTO HP': '50', u'Woods Model': 'MDS96', u'Working Width (in)': '96', u'Cutting Capacity Diameter (in)': '1.5'}, {u'Duty': 'Standard-Duty', u'Minimum PTO HP': '40', u'Woods Model': 'DS120', u'Working Width (in)': '120', u'Cutting Capacity Diameter (in)': '1.5'}, {u'Duty': 'Standard-Duty', u'Minimum PTO HP': '60', u'Woods Model': 'MDS120', u'Working Width (in)': '120', u'Cutting Capacity Diameter (in)': '1.5'}, {u'Duty': 'Heavy-Duty', u'Minimum PTO HP': '50', u'Woods Model': 'DS1260', u'Working Width (in)': '126', u'Cutting Capacity Diameter (in)': '3'}, {u'Duty': 'Heavy-Duty', u'Minimum PTO HP': '65', u'Woods Model': 'MDS1260', u'Working Width (in)': '126', u'Cutting Capacity Diameter (in)': '3'}, {u'Duty': 'Heavy-Duty', u'Minimum PTO HP': '50', u'Woods Model': 'DS1440', u'Working Width (in)': '144', u'Cutting Capacity Diameter (in)': '3'}, {u'Duty': 'Heavy-Duty', u'Minimum PTO HP': '70', u'Woods Model': 'MDS1440', u'Working Width (in)': '144', u'Cutting Capacity Diameter (in)': '3'}, {u'Duty': 'Heavy-Duty', u'Minimum PTO HP': '50', u'Woods Model': 'DS01260', u'Working Width (in)': '126', u'Cutting Capacity Diameter (in)': '3'}, {u'Duty': 'Heavy-Duty', u'Minimum PTO HP': '70', u'Woods Model': 'MTS1680', u'Working Width (in)': '168', u'Cutting Capacity Diameter (in)': '3'}, {u'Duty': 'Heavy-Duty', u'Minimum PTO HP': '90', u'Woods Model': 'TS1680', u'Working Width (in)': '168', u'Cutting Capacity Diameter (in)': '3'}]",,Massey Ferguson | Multi-Spindle Rotary Cutters
,"[{u'Discharge': 'Right Side', u'Model': '2315', u'Cutting Width (in)': '54', u'Cutting Height (in)': '1.3 - 4.9', u'Number of Blades': '6'}, {u'Discharge': 'Right Side', u'Model': '2320', u'Cutting Width (in)': '54', u'Cutting Height (in)': '1.2 - 4.7', u'Number of Blades': '3'}, {u'Discharge': 'Right Side', u'Model': '2326 Drive Over Deck', u'Cutting Width (in)': '60', u'Cutting Height (in)': '1.2 - 4.7', u'Number of Blades': '3'}, {u'Discharge': 'Right Side', u'Model': '1705', u'Cutting Width (in)': '72', u'Cutting Height (in)': '1.5 - 5.0', u'Number of Blades': '3'}]",,Massey Ferguson | Mid-Mount Finish Mowers
,"[{u'Max. Reach in. (mm.)': '107.5 (2,730)', u'Model': 'CB65', u'Max. Digging Depth in (mm)': '77.5 (1,968)', u'Bucket Width Options in.': '10"", 12""', u'Bucket Digging Force (lbs)': '2,476 (1,123)'}, {u'Max. Reach in. (mm.)': '119.7 (3,040)', u'Model': 'CB75', u'Max. Digging Depth in (mm)': '92.1 (2,339)', u'Bucket Width Options in.': '10"", 12"", 16""', u'Bucket Digging Force (lbs)': '3,148 (1,428)'}, {u'Max. Reach in. (mm.)': '129.9 (3,299)', u'Model': 'CB85', u'Max. Digging Depth in (mm)': '99.6 (2,530)', u'Bucket Width Options in.': '10"", 12"", 16"", 18"", 24""', u'Bucket Digging Force (lbs)': '4,475 (2,030)'}]",,Massey Ferguson | Compact Backhoes
,"[{u'Duty': 'Standard-Duty', u'Model': 'RDC54', u'Cutting Width (in)': '54', u'Engine HP Range': '15-25', u'Cutting Height (in)': '1-4.5'}, {u'Duty': 'Standard-Duty', u'Model': 'RD60', u'Cutting Width (in)': '60', u'Engine HP Range': '15-35', u'Cutting Height (in)': '1-4.5'}, {u'Duty': 'Standard-Duty', u'Model': 'RD72', u'Cutting Width (in)': '72', u'Engine HP Range': '20-35', u'Cutting Height (in)': '1-4.5'}, {u'Duty': 'Medium-Duty', u'Model': 'PRD6000', u'Cutting Width (in)': '60', u'Engine HP Range': '15-40', u'Cutting Height (in)': '1-5.5'}, {u'Duty': 'Medium-Duty', u'Model': 'PRD7200', u'Cutting Width (in)': '72', u'Engine HP Range': '20-40', u'Cutting Height (in)': '1-5.5'}, {u'Duty': 'Medium-Duty', u'Model': 'PRD8400', u'Cutting Width (in)': '84', u'Engine HP Range': '25-40', u'Cutting Height (in)': '1-5.5'}, {u'Duty': 'Heavy-Duty', u'Model': 'RD990X', u'Cutting Width (in)': '90', u'Engine HP Range': '45-75', u'Cutting Height (in)': '1.5-7'}, {u'Duty': 'Estate Model', u'Model': 'TBW150C', u'Cutting Width (in)': '150', u'Engine HP Range': '25-60', u'Cutting Height (in)': '1-4.5'}, {u'Duty': 'Commercial Models', u'Model': 'TBW144', u'Cutting Width (in)': '144', u'Engine HP Range': '30-80', u'Cutting Height (in)': '1-5'}, {u'Duty': 'Commercial Models', u'Model': 'TBW180', u'Cutting Width (in)': '180', u'Engine HP Range': '35-80', u'Cutting Height (in)': '1-5'}, {u'Duty': 'Commercial Models', u'Model': 'TBW204', u'Cutting Width (in)': '204', u'Engine HP Range': '40-80', u'Cutting Height (in)': '1-5'}]",,Massey Ferguson | Rear Discharge Finish Mowers
,"[{u'Duty': 'Compact/Utility Tractor', u'Working Width (in)': '144', u'Model': 'BW12', u'Minimum PTO HP': '35', u'Type': 'Dual-wing', u'Cutting Capacity Diameter (in)': '1.5'}, {u'Duty': 'Compact/Utility Tractor', u'Working Width (in)': '180', u'Model': 'BW15', u'Minimum PTO HP': '40', u'Type': 'Dual-wing', u'Cutting Capacity Diameter (in)': '1.5'}, {u'Duty': 'Standard-Duty', u'Working Width (in)': '180', u'Model': 'BW126X', u'Minimum PTO HP': '45', u'Type': 'Single-wing', u'Cutting Capacity Diameter (in)': '2.5'}, {u'Duty': 'Standard-Duty', u'Working Width (in)': '180', u'Model': 'BW180X', u'Minimum PTO HP': '45', u'Type': 'Dual-wing', u'Cutting Capacity Diameter (in)': '2.5'}, {u'Duty': 'Heavy-Duty', u'Working Width (in)': '180', u'Model': 'BW126XHD', u'Minimum PTO HP': '55', u'Type': 'Single-wing', u'Cutting Capacity Diameter (in)': '3.5'}, {u'Duty': 'Heavy-Duty', u'Working Width (in)': '180', u'Model': 'BW180XHD', u'Minimum PTO HP': '55', u'Type': 'Dual-wing', u'Cutting Capacity Diameter (in)': '3.5'}, {u'Duty': 'Extreme-Duty', u'Working Width (in)': '180', u'Model': 'BW1260X', u'Minimum PTO HP': '65', u'Type': 'Single-wing', u'Cutting Capacity Diameter (in)': '4'}, {u'Duty': 'Extreme-Duty', u'Working Width (in)': '180', u'Model': 'BW1800X', u'Minimum PTO HP': '65', u'Type': 'Dual-wing', u'Cutting Capacity Diameter (in)': '4'}, {u'Duty': 'Standard-Duty', u'Working Width (in)': '240', u'Model': 'BW240', u'Minimum PTO HP': '70', u'Type': 'Dual-wing', u'Cutting Capacity Diameter (in)': '2'}, {u'Duty': 'Heavy-Duty', u'Working Width (in)': '240', u'Model': 'BW240HD', u'Minimum PTO HP': '70', u'Type': 'Dual-wing', u'Cutting Capacity Diameter (in)': '3'}, {u'Duty': 'Extreme-Duty', u'Working Width (in)': '162', u'Model': 'BW1620X', u'Minimum PTO HP': '70', u'Type': 'Single-wing', u'Cutting Capacity Diameter (in)': '4'}, {u'Duty': 'Extreme-Duty', u'Working Width (in)': '240', u'Model': 'BW2400X', u'Minimum PTO HP': '70', u'Type': 'Dual-wing', u'Cutting Capacity Diameter (in)': '4'}]",,Massey Ferguson | Batwing® Rotary Cutters
,"[{u'Max Rollback Angle': u'25\xb0', u'Model': 'DL95', u'Lift Height @ Pivot Pin (in)': '72.8 (1,850)', u'Breakout Force at bucket edge lbs (kg)': '920 (420)', u'Lift Capacity to Max. Height @ Pivot Pin lbs (kg)': '870 (395)'}, {u'Max Rollback Angle': u'25\xb0', u'Model': 'L105E', u'Lift Height @ Pivot Pin (in)': '95.7 (2,400)', u'Breakout Force at bucket edge lbs (kg)': '1,460 (660)', u'Lift Capacity to Max. Height @ Pivot Pin lbs (kg)': '1,210 (549)'}, {u'Max Rollback Angle': u'45\xb0', u'Model': 'DL125', u'Lift Height @ Pivot Pin (in)': '102.4 (2,600)', u'Breakout Force at bucket edge lbs (kg)': '2,190 (990)', u'Lift Capacity to Max. Height @ Pivot Pin lbs (kg)': '1,840 (835)'}, {u'Max Rollback Angle': u'45\xb0', u'Model': 'DL135', u'Lift Height @ Pivot Pin (in)': '110.2 (2,800)', u'Breakout Force at bucket edge lbs (kg)': '2,860 (1,300)', u'Lift Capacity to Max. Height @ Pivot Pin lbs (kg)': '2,420 (1,098)'}]",,Massey Ferguson | Sub-Compact Loader
,"[{u'Duty': 'Compact/Utility Tractor', u'Minimum PTO HP': '20', u'Woods Model': 'RC3.5', u'Working Width (in)': '42', u'Cutting Capacity Diameter (in)': '1'}, {u'Duty': 'Compact/Utility Tractor', u'Minimum PTO HP': '20', u'Woods Model': 'RC4', u'Working Width (in)': '48', u'Cutting Capacity Diameter (in)': '1'}, {u'Duty': 'Standard-Duty', u'Minimum PTO HP': '15', u'Woods Model': 'BB48X', u'Working Width (in)': '48', u'Cutting Capacity Diameter (in)': '1.5'}, {u'Duty': 'Compact/Utility Tractor', u'Minimum PTO HP': '20', u'Woods Model': 'RC5', u'Working Width (in)': '60', u'Cutting Capacity Diameter (in)': '1'}, {u'Duty': 'Standard-Duty', u'Minimum PTO HP': '20', u'Woods Model': 'BB60X', u'Working Width (in)': '60', u'Cutting Capacity Diameter (in)': '2'}, {u'Duty': 'Medium-Duty', u'Minimum PTO HP': '30', u'Woods Model': 'BB600X', u'Working Width (in)': '60', u'Cutting Capacity Diameter (in)': '3'}, {u'Duty': 'Heavy-Duty', u'Minimum PTO HP': '40', u'Woods Model': 'BB6000X', u'Working Width (in)': '60', u'Cutting Capacity Diameter (in)': '4'}, {u'Duty': 'Compact/Utility Tractor', u'Minimum PTO HP': '20', u'Woods Model': 'RC6', u'Working Width (in)': '72', u'Cutting Capacity Diameter (in)': '1'}, {u'Duty': 'Standard-Duty', u'Minimum PTO HP': '25', u'Woods Model': 'BB72X', u'Working Width (in)': '72', u'Cutting Capacity Diameter (in)': '2'}, {u'Duty': 'Medium-Duty', u'Minimum PTO HP': '30', u'Woods Model': 'BB720X', u'Working Width (in)': '72', u'Cutting Capacity Diameter (in)': '3'}, {u'Duty': 'Heavy-Duty', u'Minimum PTO HP': '50', u'Woods Model': 'BB7200X', u'Working Width (in)': '72', u'Cutting Capacity Diameter (in)': '4'}, {u'Duty': 'Standard-Duty', u'Minimum PTO HP': '30', u'Woods Model': 'BB84X', u'Working Width (in)': '84', u'Cutting Capacity Diameter (in)': '2'}, {u'Duty': 'Medium-Duty', u'Minimum PTO HP': '40', u'Woods Model': 'BB840X', u'Working Width (in)': '84', u'Cutting Capacity Diameter (in)': '3'}, {u'Duty': 'Medium-Duty', u'Minimum PTO HP': '40 (1,000 rpm)', u'Woods Model': 'BB840XQ', u'Working Width (in)': '84', u'Cutting Capacity Diameter (in)': '3'}, {u'Duty': 'Medium-Duty', u'Minimum PTO HP': '40', u'Woods Model': 'BB840X-P', u'Working Width (in)': '84', u'Cutting Capacity Diameter (in)': '3'}, {u'Duty': 'Heavy-Duty', u'Minimum PTO HP': '65', u'Woods Model': 'BB8400X', u'Working Width (in)': '84', u'Cutting Capacity Diameter (in)': '4'}]",,Massey Ferguson | Single Spindle Rotary Cutters
,"[{u'Model': 'MF951 Non Self-Leveling', u'Lift Capacity @ 800mm Pivot Pin, 59in lift height (lbs)': '3,704', u'Lift Height @ Pivot Pin (in)': '157', u'Lift Capacity @ Pivot Pin, lift height (lbs)': '5,092'}, {u'Model': 'MF956 Mechanical Self-Leveling', u'Lift Capacity @ 800mm Pivot Pin, 59in lift height (lbs)': '4,255', u'Lift Height @ Pivot Pin (in)': '157', u'Lift Capacity @ Pivot Pin, lift height (lbs)': '4,541'}, {u'Model': 'MF961 Non Self-Leveling', u'Lift Capacity @ 800mm Pivot Pin, 59in lift height (lbs)': '4,365', u'Lift Height @ Pivot Pin (in)': '167', u'Lift Capacity @ Pivot Pin, lift height (lbs)': '5,974'}, {u'Model': 'MF968 Mechanical Self-Leveling', u'Lift Capacity @ 800mm Pivot Pin, 59in lift height (lbs)': '5,710', u'Lift Height @ Pivot Pin (in)': '167', u'Lift Capacity @ Pivot Pin, lift height (lbs)': '5,379'}, {u'Model': 'MF978 Mechanical Self-Leveling', u'Lift Capacity @ 800mm Pivot Pin, 59in lift height (lbs)': '5,592', u'Lift Height @ Pivot Pin (in)': '177', u'Lift Capacity @ Pivot Pin, lift height (lbs)': '6,217'}, {u'Model': 'MF988 Mechnical Self-Leveling', u'Lift Capacity @ 800mm Pivot Pin, 59in lift height (lbs)': '6,724', u'Lift Height @ Pivot Pin (in)': '194', u'Lift Capacity @ Pivot Pin, lift height (lbs)': '6,768'}]",,Massey Ferguson | High Horsepower Loader
,"[{u'Model': 'L135E', u'Lift Capacity @ 800mm Pivot Pin, 59in lift height (lbs)': '2,320', u'Lift Height @ Pivot Pin (in)': '110.2', u'Lift Capacity @ Pivot Pin, lift height (lbs)': '2,430'}, {u'Model': '911X', u'Lift Capacity @ 800mm Pivot Pin, 59in lift height (lbs)': '2,170', u'Lift Height @ Pivot Pin (in)': '115', u'Lift Capacity @ Pivot Pin, lift height (lbs)': '2,480'}, {u'Model': '921X Non Self Leveling', u'Lift Capacity @ 800mm Pivot Pin, 59in lift height (lbs)': '2,660', u'Lift Height @ Pivot Pin (in)': '124', u'Lift Capacity @ Pivot Pin, lift height (lbs)': '3,050'}, {u'Model': '926X Mechanical Self-Leveling', u'Lift Capacity @ 800mm Pivot Pin, 59in lift height (lbs)': '3,080', u'Lift Height @ Pivot Pin (in)': '124', u'Lift Capacity @ Pivot Pin, lift height (lbs)': '2,410'}, {u'Model': '931X Non Self-Leveling', u'Lift Capacity @ 800mm Pivot Pin, 59in lift height (lbs)': '3,020', u'Lift Height @ Pivot Pin (in)': '136', u'Lift Capacity @ Pivot Pin, lift height (lbs)': '3,420'}, {u'Model': '936X Mechanical Self-Leveling', u'Lift Capacity @ 800mm Pivot Pin, 59in lift height (lbs)': '3,430', u'Lift Height @ Pivot Pin (in)': '136', u'Lift Capacity @ Pivot Pin, lift height (lbs)': '2,770'}, {u'Model': 'MF931 Non Self-Leveling', u'Lift Capacity @ 800mm Pivot Pin, 59in lift height (lbs)': '2,756', u'Lift Height @ Pivot Pin (in)': '137', u'Lift Capacity @ Pivot Pin, lift height (lbs)': '3,880'}, {u'Model': 'MF 941 Non Self-Leveling', u'Lift Capacity @ 800mm Pivot Pin, 59in lift height (lbs)': '3,439', u'Lift Height @ Pivot Pin (in)': '147', u'Lift Capacity @ Pivot Pin, lift height (lbs)': '4,740'}, {u'Model': 'MF946 Mechanical Self-Leveling', u'Lift Capacity @ 800mm Pivot Pin, 59in lift height (lbs)': '3,968', u'Lift Height @ Pivot Pin (in)': '147', u'Lift Capacity @ Pivot Pin, lift height (lbs)': '4,188'}]",,Massey Ferguson | Utility and Mid-Range Loader
"http://www.masseyferguson.us/content/dam/Brands/Massey Ferguson/US/Hay and Forage/Rakes and Tedders/TD Series Tedders/Gallery/massey-ferguson-td-series-tedders-gallery-image-3.jpg/jcr:content/renditions/cq5dam.web.1280.1280.jpeg,http://www.masseyferguson.us/content/dam/Brands/Massey Ferguson/US/Hay and Forage/Rakes and Tedders/TD Series Tedders/Gallery/massey-ferguson-td-series-tedders-gallery-image-4.jpg/jcr:content/renditions/cq5dam.web.1280.1280.jpeg,http://www.masseyferguson.us/content/dam/Brands/Massey Ferguson/US/Hay and Forage/Rakes and Tedders/TD Series Tedders/Gallery/massey-ferguson-td-series-tedders-gallery-image-5.jpg/jcr:content/renditions/cq5dam.web.1280.1280.jpeg,http://www.masseyferguson.us/content/dam/Brands/Massey Ferguson/US/Hay and Forage/Rakes and Tedders/TD Series Tedders/Gallery/massey-ferguson-td-series-tedders-gallery-image-1.jpg/jcr:content/renditions/cq5dam.web.1280.1280.jpeg,http://www.masseyferguson.us/content/dam/Brands/Massey Ferguson/US/Hay and Forage/Rakes and Tedders/TD Series Tedders/Gallery/Massey-Ferguson-TD-Series-Tedder-2.jpg/jcr:content/renditions/cq5dam.web.1280.1280.jpeg,http://www.masseyferguson.us/content/dam/Brands/Massey Ferguson/US/Hay and Forage/Rakes and Tedders/TD Series Tedders/Gallery/massey-ferguson-td-series-tedders-gallery-image-2.jpg/jcr:content/renditions/cq5dam.web.1280.1280.jpeg,http://www.masseyferguson.us/content/dam/Brands/Massey Ferguson/US/Hay and Forage/Rakes and Tedders/TD Series Tedders/Gallery/Massey-Ferguson-TD-Series-Tedder-4.jpg/jcr:content/renditions/cq5dam.web.1280.1280.jpeg","[{u'Min. PTO HP': '20', u'Model': 'TD252TR', u'# of Rotors': '2', u'Working Width: ft (m)': u'8\u2019 2\u201d (2,5)', u'Hitch': 'Drawbar'}, {u'Min. PTO HP': '30', u'Model': 'TD524 TR- Hydro', u'# of Rotors': '4', u'Working Width: ft (m)': u'17\u2019 1\u201d (5,2)', u'Hitch': 'Drawbar'}, {u'Min. PTO HP': '30', u'Model': 'TD524 DN', u'# of Rotors': '4', u'Working Width: ft (m)': u'17\u2019 1\u201d (5,2)', u'Hitch': '3 pt- Cat I & II'}, {u'Min. PTO HP': '41', u'Model': 'TD676 DN', u'# of Rotors': '6', u'Working Width: ft (m)': u'21\u2019 8\u201d (6.6)', u'Hitch': '3 pt- Cat I & II'}, {u'Min. PTO HP': '82', u'Model': 'TD776 DN', u'# of Rotors': '6', u'Working Width: ft (m)': u'25\u2019 3\u201d (7.7)', u'Hitch': '3 pt- Cat I & II'}, {u'Min. PTO HP': '41', u'Model': 'TD776 TRC', u'# of Rotors': '6', u'Working Width: ft (m)': u'25\u2019 3\u201d (7,7)', u'Hitch': 'Drawbar'}, {u'Min. PTO HP': '54', u'Model': 'TD1008 TRC', u'# of Rotors': '8', u'Working Width: ft (m)': u'33\u2019 6\u201d (10,2)', u'Hitch': 'Drawbar'}, {u'Min. PTO HP': '48', u'Model': 'TD1008 TR- Hydro', u'# of Rotors': '8', u'Working Width: ft (m)': u'33\u2019 6\u201d (10.2)', u'Hitch': 'Drawbar'}, {u'Min. PTO HP': '61', u'Model': 'TD1310 TR- Hydro', u'# of Rotors': '10', u'Working Width: ft (m)': u'41\u2019 8\u201d (12.7)', u'Hitch': 'Drawbar'}, {u'Min. PTO HP': '90', u'Model': 'TD1310 TRC', u'# of Rotors': '10', u'Working Width: ft (m)': u'41\u2019 8\u201d (12,7)', u'Hitch': 'Drawbar'}]","Innovation,Capability",Massey Ferguson | TD Series Tedders
"http://www.masseyferguson.us/content/dam/Brands/Massey Ferguson/US/Hay and Forage/Rakes and Tedders/1500 Series Vertical Fold Rakes/Gallery/massey-ferguson-1500-series-vertical-fold-rake-2.jpg/jcr:content/renditions/cq5dam.web.1280.1280.jpeg,http://www.masseyferguson.us/content/dam/Brands/Massey Ferguson/US/Hay and Forage/Rakes and Tedders/1500 Series Vertical Fold Rakes/Gallery/massey-ferguson-1500-series-vertical-fold-rakes-transport-gallery.jpg/jcr:content/renditions/cq5dam.web.1280.1280.jpeg,http://www.masseyferguson.us/content/dam/Brands/Massey Ferguson/US/Hay and Forage/Rakes and Tedders/1500 Series Vertical Fold Rakes/Gallery/massey-ferguson-1500-series-vertical-fold-rake-1.jpg/jcr:content/renditions/cq5dam.web.1280.1280.jpeg,http://www.masseyferguson.us/content/dam/Brands/Massey Ferguson/US/Hay and Forage/Rakes and Tedders/1500 Series Vertical Fold Rakes/Gallery/massey-ferguson-1500-series-vertical-fold-rakes-gallery.jpg/jcr:content/renditions/cq5dam.web.1280.1280.jpeg","[{u'Model': '1508', u'Transport Width: ft (m)': '8.6 (2.6)', u'Working Width: ft (m)': '15-19 (4.6-5.8)'}, {u'Model': '1510', u'Transport Width: ft (m)': '9.6 (2.9)', u'Working Width: ft (m)': '18-22 (5.5-6.7)'}, {u'Model': '1510S', u'Transport Width: ft (m)': '10-8 (3.3)', u'Working Width: ft (m)': '18-22 (5.5-6.7)'}, {u'Model': '1512', u'Transport Width: ft (m)': '9.6 (2.9)', u'Working Width: ft (m)': '20-24 (6.1-7.3)'}, {u'Model': '1512S', u'Transport Width: ft (m)': '12 (3.6)', u'Working Width: ft (m)': '20-24 (6.1-7.3)'}]",,1500 Series Vertical Fold Rakes
,"[{u'Windrow Width in': 'up to 46""', u'Rake Wheels': '15', u'Working Widths ft (m)': ""up to 25' (7.62)"", u'Transport Width ft (m)': '10\'4"" (3.15)', u'Transport Length ft (m)': '31\'6"" (9.6)', u'Model': 'SV415'}]",,SV Series Y Rake
"http://www.masseyferguson.us/content/dam/Brands/Massey Ferguson/US/Hay and Forage/Manure Spreaders/3700 Series Manure Spreaders/Gallery/Massey_Ferguson_3700_Series_Manure_Spreader_4_1.jpg/jcr:content/renditions/cq5dam.web.1280.1280.jpeg,http://www.masseyferguson.us/content/dam/Brands/Massey Ferguson/US/Hay and Forage/Manure Spreaders/3700 Series Manure Spreaders/Gallery/Massey_Ferguson_3700_Series_Manure_Spreader_1_1.jpg/jcr:content/renditions/cq5dam.web.1280.1280.jpeg,http://www.masseyferguson.us/content/dam/Brands/Massey Ferguson/US/Hay and Forage/Manure Spreaders/3700 Series Manure Spreaders/Gallery/Massey_Ferguson_3700_Series_Manure_Spreader_2_1.jpg/jcr:content/renditions/cq5dam.web.1280.1280.jpeg","[{u'Capacity': '175 bu', u'Model': 'SP3710', u'Type': 'Heavy-Duty'}, {u'Capacity': '235 bu', u'Model': 'SP3714', u'Type': 'Heavy-Duty'}, {u'Capacity': '270 bu', u'Model': 'SP3717', u'Type': 'Heavy-Duty'}, {u'Capacity': '310 bu', u'Model': 'SP3719', u'Type': 'Heavy-Duty'}, {u'Capacity': '370 bu', u'Model': 'SP3724', u'Type': 'Heavy-Duty'}, {u'Capacity': '430 bu', u'Model': 'SP3728', u'Type': 'Heavy-Duty'}, {u'Capacity': '560 bu', u'Model': 'SP3735', u'Type': 'Heavy-Duty'}, {u'Capacity': '660 bu', u'Model': 'SP3748', u'Type': 'Heavy-Duty'}, {u'Capacity': '425 bu', u'Model': 'HY3730', u'Type': 'Hydra-Push'}, {u'Capacity': '550 bu', u'Model': 'HY3744', u'Type': 'Hydra-Push'}, {u'Capacity': '2000 gallons', u'Model': 'VB3726', u'Type': 'Side-Discharge'}, {u'Capacity': '2600 gallons', u'Model': 'VB3734', u'Type': 'Side-Discharge'}, {u'Capacity': '3400 gallons', u'Model': 'VB3744', u'Type': 'Side-Discharge'}, {u'Capacity': '4200 gallons', u'Model': 'VB3755', u'Type': 'Side-Discharge'}]","Innovation,Capability",Massey Ferguson | 3700 Series Manure Spreader
,"[{u'Model': '3983 High-Capacity', u'Trans. Width: ft (m)': '8.0 (2.4)', u'Working Width: ft (m)': 'up to 24 (up to 7.32)'}, {u'Model': '3986 High-Capacity', u'Trans. Width: ft (m)': '8.1 (2.5)', u'Working Width: ft (m)': 'up to 28 (up to 8.5)'}]","Innovation,Capability",Massey Ferguson | 3900 Series Wheel Rake
"http://www.masseyferguson.us/content/dam/Brands/Massey Ferguson/US/Hay and Forage/Rakes and Tedders/RK Series Rotary Rakes/Gallery/Massey_Ferguson_RK_Series_Rotary_Rake_2_1.jpg/jcr:content/renditions/cq5dam.web.1280.1280.jpeg,http://www.masseyferguson.us/content/dam/Brands/Massey Ferguson/US/Hay and Forage/Rakes and Tedders/RK Series Rotary Rakes/Gallery/massey-ferguson-rk-rotary-series-rakes-gallery-03.jpg/jcr:content/renditions/cq5dam.web.1280.1280.jpeg,http://www.masseyferguson.us/content/dam/Brands/Massey Ferguson/US/Hay and Forage/Rakes and Tedders/RK Series Rotary Rakes/Gallery/massey-ferguson-rk-rotary-series-rakes-gallery-image-2.jpg/jcr:content/renditions/cq5dam.web.1280.1280.jpeg,http://www.masseyferguson.us/content/dam/Brands/Massey Ferguson/US/Hay and Forage/Rakes and Tedders/RK Series Rotary Rakes/Gallery/massey-ferguson-rk-rotary-series-rakes-gallery-05.jpg/jcr:content/renditions/cq5dam.web.1280.1280.jpeg,http://www.masseyferguson.us/content/dam/Brands/Massey Ferguson/US/Hay and Forage/Rakes and Tedders/RK Series Rotary Rakes/Gallery/massey-ferguson-rk-rotary-series-rakes-gallery-04.jpg/jcr:content/renditions/cq5dam.web.1280.1280.jpeg,http://www.masseyferguson.us/content/dam/Brands/Massey Ferguson/US/Hay and Forage/Rakes and Tedders/RK Series Rotary Rakes/Gallery/Massey_Ferguson_RK_Series_Rotary_Rake_3_1.jpg/jcr:content/renditions/cq5dam.web.1280.1280.jpeg,http://www.masseyferguson.us/content/dam/Brands/Massey Ferguson/US/Hay and Forage/Rakes and Tedders/RK Series Rotary Rakes/Gallery/massey-ferguson-rk-rotary-series-rakes-gallery-Image.jpg/jcr:content/renditions/cq5dam.web.1280.1280.jpeg","[{u'Model': 'RK361DSR', u'Transport Width: ft (m)': '5\'11"" (1.56)', u'Working Width: ft (m)': '11\'6"" (3.5)', u'Power Requirements: hp (kW)': '27 (20)'}, {u'Model': 'RK451DN', u'Transport Width: ft (m)': ""6' (1.8)"", u'Working Width: ft (m)': '14\'7"" (4.5)', u'Power Requirements: hp (kW)': '41 (30)'}, {u'Model': 'RK451TR', u'Transport Width: ft (m)': ""6' (1.8)"", u'Working Width: ft (m)': '14\'7"" (4.5)', u'Power Requirements: hp (kW)': '41 (30)'}, {u'Model': 'RK662SD-TRC', u'Transport Width: ft (m)': u'9\u20199\u201d (2.98)', u'Working Width: ft (m)': u'18\u201910\u201d (5.5)-21\u201910\u201d (6.6)', u'Power Requirements: hp (kW)': '26 (19)'}, {u'Model': 'RK702TR-SDX', u'Transport Width: ft (m)': u'7\u20197\u201d (2.3)', u'Working Width: ft (m)': u'20\u20198\u201d (6.3)-23\u2019 (7)', u'Power Requirements: hp (kW)': '45 (34)'}, {u'Model': 'RK772SD-TRC', u'Transport Width: ft (m)': u""7'10\u201d (3)"", u'Working Width: ft (m)': u'21\u20198\u201d (6.6)-25\u20193\u201d (7.7)', u'Power Requirements: hp (kW)': '41 (30)'}, {u'Model': 'RK802TRC-PRO', u'Transport Width: ft (m)': u'9\u20199\u201d (2.98)', u'Working Width: ft (m)': u'23\u20197\u201d (7.2)-26\u20193\u201d (8)', u'Power Requirements: hp (kW)': '48 (35)'}, {u'Model': 'RK1254TRC-PRO', u'Transport Width: ft (m)': u'9\u201910\u201d (3)', u'Working Width: ft (m)': u'41\u2019 (12.5)', u'Power Requirements: hp (kW)': '80 (60)'}]","Innovation,Capability",Massey Ferguson | RK Series Rotary Rake
,"[{u'Model': '5130', u'Transport Width: ft (m)': '12.25 (3.7)', u'Working Width: ft (m)': '0-30.3 (0-9.2)'}]",,5130 Wheel Rake
